year,stream,prespawn_survival,wy_type,max_flow_std,gdd_std,median_passage_timing_std
2000,clear creek,1.7777777777777777,1,NA,NA,NA
2001,battle creek,0.45045045045045046,0,NA,NA,0.12225270899550002
2002,battle creek,0.4594594594594595,0,NA,NA,1.6124141078325351
2002,clear creek,3.242424242424242,0,NA,-0.32411539760457064,NA
2003,battle creek,0.5520361990950227,1,-0.04429047890119047,-0.3521365049361534,3.2380447247456643
2003,clear creek,3.28,1,0.11165157233369746,-0.3405402176010674,NA
2004,battle creek,0.4222222222222222,0,-0.29563237324448044,-0.3530865935730348,0.7995987993759704
2004,clear creek,0.7551020408163265,0,-0.40387450292516736,-0.3342540147022497,NA
2005,battle creek,0.8493150684931506,1,-0.17087873225657008,-0.3464750178533673,0.7995987993759704
2005,clear creek,2,1,-0.2736170248348492,-0.3535681453478925,NA
2006,battle creek,0.7330316742081447,1,0.3152935451227864,-0.348414239865632,1.2060064536042527
2006,clear creek,1.896103896103896,1,-0.09382501282286075,-0.33312171728569245,NA
2007,battle creek,0.584192439862543,0,-0.44460289748298515,-0.27601227977013953,0.25772192707159414
2007,clear creek,0.5051546391752577,0,-0.4882666718287538,-0.2831444520031666,NA
2008,battle creek,0.5523809523809524,0,-0.437447909249855,-0.30998120226685627,-0.013216509080594076
2008,clear creek,0.65,0,-0.49175243532694535,-0.32365987565538096,NA
2009,battle creek,0.6288659793814433,0,-0.06447121494335244,-0.19196197268822499,-0.013216509080594076
2009,clear creek,1.9,0,-0.38277646069927074,-0.23426043939869606,NA
2010,battle creek,0.5632183908045977,0,-0.3616784184733741,-0.35092611804259233,0.7995987993759704
2010,clear creek,3.8095238095238093,0,-0.3598438061059049,-0.3535681453478925,NA
2011,battle creek,0.4528301886792453,1,-0.20390175487101694,-0.3535681453478925,1.3414756716803469
2011,clear creek,10.5,1,-0.23875938985293307,-0.3535681453478925,NA
2012,battle creek,0.42803504380475593,0,-0.2552709011601565,-0.313260960301022,0.5286603632237823
2012,clear creek,1.1764705882352942,0,-0.2901285361420726,-0.32103086326291475,NA
2013,battle creek,0.2598684210526316,0,-0.4192852468119092,-0.3098900978770183,-0.013216509080594076
2013,clear creek,0.40971168437025796,0,-0.3717687864944551,-0.3533338769168806,-0.013216509080594076
2014,battle creek,0.36363636363636365,0,-0.007598231551805076,0.016745169517656207,0.25772192707159414
2014,clear creek,1.7894736842105263,0,-0.3803914646215607,-0.05530538793131849,0.25772192707159414
2015,battle creek,0.1878453038674033,0,-0.4882666718287538,-0.10625877167639361,-0.013216509080594076
2015,clear creek,2.4,0,-0.3899314489324009,-0.20895944884941736,-0.013216509080594076
2016,battle creek,0.2777777777777778,0,0.11715540943610527,0.0701063121370197,-0.2841549452327823
2016,clear creek,2.2758620689655173,0,-0.2075709796059555,0.03163422979974209,-0.2841549452327823
2017,battle creek,0.26666666666666666,1,-0.16170567041922373,-0.34781555387526836,0.7995987993759704
2017,clear creek,1.36,1,-0.39323375119384557,-0.3535681453478925,-0.8260318175371586
2018,battle creek,0.5121951219512195,0,0.16118610625536775,-0.27404702793220687,-0.2841549452327823
2018,clear creek,1.9183673469387754,0,-0.3847945343034869,-0.3029531493365011,0.7995987993759704
2019,battle creek,0.851063829787234,1,-0.011267456286743615,-0.3529173997061929,2.1542909801369112
2019,clear creek,3.4838709677419355,1,-0.2736170248348492,-0.3529173997061929,0.25772192707159414
2020,clear creek,0.6395348837209303,0,-0.3580091937384356,-0.20216566435007405,-0.2841549452327823
2021,clear creek,0.1625222024866785,0,-0.3580091937384356,-0.017054559112218638,NA
2014,deer creek,0.7884378843788438,0,-0.23875938985293307,0.33550641464776626,-1.0969702536893469
2015,deer creek,0.3694029850746269,0,-0.5185377758919967,0.3627205973836416,-1.6388471259937232
2016,deer creek,0.8096676737160121,0,0.2492474998938927,0.319888519246977,-0.8260318175371586
2017,deer creek,1.3518518518518519,1,-0.1396903220095925,-0.11694401511310032,-0.8260318175371586
2018,deer creek,0.6540880503144654,0,0.12999769600839015,0.005877717301273684,-0.8260318175371586
2019,deer creek,0.6376068376068376,1,-0.05529815310600609,-0.17422264649549513,-0.8260318175371586
2020,deer creek,0.4444444444444444,0,-0.4770755363871912,0.19420350600912487,-1.232439471765441
2014,mill creek,0.6480117820324006,0,-0.13418648490718468,0.25314804623427056,-1.0969702536893469
2015,mill creek,0.9133858267716536,0,-0.5117497101323604,0.15984413612738838,-1.367908689841535
2016,mill creek,0.5371428571428571,0,0.15384765678549067,0.18229486076602303,-0.8260318175371586
2017,mill creek,2.63265306122449,1,-0.24976706405774868,-0.2757259516877917,-0.2841549452327823
2018,mill creek,2.980392156862745,0,0.02725940343011105,-0.09781209324713341,-0.8260318175371586
2019,mill creek,2.25,1,-0.14152493437706176,-0.28984713211267205,-0.2841549452327823
2020,mill creek,1.095890410958904,0,-0.4469878935606952,0.08047919766571064,-1.232439471765441
2011,yuba river,0.059322033898305086,1,4.388133000904565,NA,NA
2012,yuba river,0.019222367846221056,0,3.3607500751217745,NA,NA
2013,yuba river,0.022738507167572912,0,-0.25160167642521797,NA,NA
2014,yuba river,0.03166749134092034,0,0.163020718622837,NA,NA
2015,yuba river,0.14468085106382977,0,-0.4009391231372165,NA,NA
2018,yuba river,0.2277580071174377,0,5.03024732951881,NA,NA
2020,yuba river,0.07030665669409125,0,0.24741288752642343,NA,NA
2015,butte creek,0.2117948717948718,0,-0.5046635198630104,0.9824386868869618,NA
2016,butte creek,1.305224787363305,0,0.35313242520184007,7.073391863369127,NA
2019,butte creek,2.5980530973451326,1,0.11318806019145297,-0.3529173997061929,NA
2020,butte creek,0.4108993647609495,0,-0.46747439833076865,0.04813713927324274,NA
2021,butte creek,0.23128119800332778,0,-0.44649866359603674,0.948365645087573,NA
2022,butte creek,0.5308438586857038,NA,-0.4303005652349226,0.23052812772879405,NA
